Stage I,Stage II,Stage III,Stage IV
0.06838540528730609,0.21345859733449857,0.25835700240332093,0.45979899497487436
0.33442233442233443,0.07276507276507277,0.3261063261063261,0.2667062667062667
0.11773601209764528,0.14452365521710953,0.16871894577662563,0.5690213869086196
0.35188205145272405,0.15515692082404234,0.29443871268346256,0.19852231503977102
0.2760515536017584,0.2062144070336697,0.3354980517534219,0.18223598761114995
0.12094281298299846,0.1561051004636785,0.2426584234930448,0.4802936630602782
0.4672348484848485,0.22168560606060606,0.19204545454545455,0.11903409090909091
0.6996847519495603,0.07184337149493944,0.140534262485482,0.08793761407001825
0.44052361980648835,0.35818630240940996,0.12749003984063745,0.07380003794346424
0.17284432305891534,0.16913772922356612,0.22805306281701132,0.4299648849005072
0.23062287202082915,0.25932972828626744,0.3243207156686027,0.18572668402430068
0.43331343593470195,0.4190392151773896,0.10093171731852275,0.04671563156938569
0.5078720162519045,0.14982224479431183,0.19908583037074656,0.14321990858303707
0.20422022798932815,0.28382245937424205,0.31869997574581616,0.19325733689061364
0.5514613516455908,0.08449878569634034,0.21070262122100328,0.15333724143706556
0.1079219288174512,0.3547646383467279,0.20321469575200918,0.3340987370838117
0.49711295561169255,0.0757849151930711,0.25442078671959584,0.17268134247564057
0.23861972174762022,0.08249938979741274,0.21100805467415182,0.46787283378081523
0.6430205949656751,0.2794050343249428,0.05522501906941266,0.02234935163996949
0.1757860856647685,0.1349343897004209,0.24065362713542957,0.44862589749938103
0.04350453172205438,0.23323262839879155,0.2654078549848943,0.4578549848942598
0.07114797031863815,0.21475338280226974,0.2517459624618071,0.46235268441728505
0.3076713076713077,0.07671307671307671,0.3387933387933388,0.27682227682227684
0.13144226927686775,0.1546144626448262,0.16200559328805433,0.5519376747902517
0.3712234217379213,0.15933051854473745,0.29459206634136476,0.17485399337597654
0.288879374933105,0.20528738092689713,0.3367226800813443,0.16911056405865355
0.1430817610062893,0.16666666666666666,0.21619496855345913,0.4740566037735849
0.4695274206973088,0.2134467770276519,0.1925460094330898,0.1244797928419495
